gene_name,significant_in_sepsis,overlap_with_icucontrols,significant_in_icucontrols
A2M,TRUE,FALSE,FALSE
AAR2,TRUE,FALSE,FALSE
AARS2,TRUE,FALSE,FALSE
AARSD1,TRUE,FALSE,FALSE
ABCA13,TRUE,FALSE,FALSE
ABCB4,TRUE,FALSE,FALSE
ABCD3,TRUE,FALSE,FALSE
ABHD13,TRUE,FALSE,FALSE
ABHD14A,TRUE,FALSE,FALSE
ABHD17A,TRUE,FALSE,FALSE
ABHD5,TRUE,FALSE,FALSE
ABI1,TRUE,FALSE,FALSE
ABI3,TRUE,FALSE,FALSE
ABR,TRUE,FALSE,FALSE
ABRACL,TRUE,FALSE,FALSE
ABRAXAS2,TRUE,FALSE,FALSE
AC004687.2,TRUE,FALSE,FALSE
AC005324.3,TRUE,FALSE,FALSE
AC005697.1,TRUE,FALSE,FALSE
AC005702.1,TRUE,FALSE,FALSE
AC005837.2,FALSE,FALSE,TRUE
AC006030.1,TRUE,FALSE,FALSE
AC006978.2,TRUE,FALSE,FALSE
AC007326.4,TRUE,FALSE,FALSE
AC008537.1,TRUE,FALSE,FALSE
AC008581.2,TRUE,FALSE,FALSE
AC009879.3,TRUE,FALSE,FALSE
AC011511.1,TRUE,FALSE,FALSE
AC013470.2,TRUE,FALSE,FALSE
AC021087.5,TRUE,FALSE,FALSE
AC022415.3,TRUE,FALSE,FALSE
AC022966.1,TRUE,FALSE,FALSE
AC027644.4,TRUE,FALSE,FALSE
AC034102.2,TRUE,FALSE,FALSE
AC040160.1,TRUE,FALSE,FALSE
AC040162.1,TRUE,FALSE,FALSE
AC068831.8,TRUE,FALSE,FALSE
AC068896.3,TRUE,FALSE,FALSE
AC073111.4,TRUE,FALSE,FALSE
AC084121.13,TRUE,FALSE,FALSE
AC087721.2,TRUE,FALSE,FALSE
AC090004.1,TRUE,FALSE,FALSE
AC091167.6,TRUE,FALSE,FALSE
AC092835.1,TRUE,FALSE,FALSE
AC093323.1,TRUE,FALSE,FALSE
AC096887.1,TRUE,FALSE,FALSE
AC098850.3,TRUE,FALSE,FALSE
AC099489.1,TRUE,FALSE,FALSE
AC104532.1,TRUE,FALSE,FALSE
AC114490.3,TRUE,FALSE,FALSE
AC119396.1,TRUE,FALSE,FALSE
AC124312.1,TRUE,FALSE,FALSE
ACAD8,TRUE,FALSE,FALSE
ACER1,TRUE,FALSE,FALSE
ACER3,TRUE,FALSE,FALSE
ACO1,TRUE,FALSE,FALSE
ACSL3,TRUE,FALSE,FALSE
ACTB,TRUE,FALSE,FALSE
ACTL10,TRUE,FALSE,FALSE
ACTL7A,TRUE,FALSE,FALSE
ACTR10,TRUE,FALSE,FALSE
ACTR2,TRUE,FALSE,FALSE
ACTR3,TRUE,FALSE,FALSE
ACTR5,TRUE,FALSE,FALSE
ACVR1,TRUE,FALSE,FALSE
ACVR1B,TRUE,FALSE,FALSE
ACVR1C,TRUE,FALSE,FALSE
ACVR2B,TRUE,FALSE,FALSE
ADA,TRUE,FALSE,FALSE
ADA2,TRUE,FALSE,FALSE
ADAM15,TRUE,FALSE,FALSE
ADAM9,TRUE,FALSE,FALSE
ADAMDEC1,TRUE,FALSE,FALSE
ADAMTS10,TRUE,FALSE,FALSE
ADAMTS3,TRUE,FALSE,FALSE
ADCK2,FALSE,FALSE,TRUE
ADCY1,TRUE,FALSE,FALSE
ADD3,TRUE,FALSE,FALSE
ADGRD1,TRUE,FALSE,FALSE
ADGRE1,TRUE,FALSE,FALSE
ADGRG3,TRUE,FALSE,FALSE
ADGRG5,TRUE,FALSE,FALSE
ADGRL1,TRUE,FALSE,FALSE
ADSS2,TRUE,FALSE,FALSE
AFAP1,TRUE,FALSE,FALSE
AFDN,TRUE,FALSE,FALSE
AFF2,TRUE,FALSE,FALSE
AFTPH,TRUE,FALSE,FALSE
AGAP3,TRUE,FALSE,FALSE
AGFG1,TRUE,FALSE,FALSE
AGFG2,TRUE,FALSE,FALSE
AGGF1,TRUE,FALSE,FALSE
AGL,TRUE,FALSE,FALSE
AGMO,TRUE,FALSE,FALSE
AGTPBP1,TRUE,FALSE,FALSE
AGXT,TRUE,FALSE,FALSE
AHDC1,TRUE,FALSE,FALSE
AHNAK,TRUE,FALSE,FALSE
AHRR,TRUE,FALSE,FALSE
AIG1,TRUE,FALSE,FALSE
AIPL1,TRUE,FALSE,FALSE
AJAP1,TRUE,FALSE,FALSE
AJM1,TRUE,FALSE,FALSE
AK9,TRUE,FALSE,FALSE
AKAP1,TRUE,FALSE,FALSE
AKAP5,TRUE,FALSE,FALSE
AKAP6,TRUE,FALSE,FALSE
AKIRIN1,TRUE,FALSE,FALSE
AKIRIN2,TRUE,FALSE,FALSE
AKR1B1,TRUE,FALSE,FALSE
AKR1C8P,TRUE,FALSE,FALSE
AKT1S1,TRUE,FALSE,FALSE
AL135905.2,TRUE,FALSE,FALSE
AL159141.1,TRUE,FALSE,FALSE
AL159163.1,TRUE,FALSE,FALSE
AL354761.1,TRUE,FALSE,FALSE
AL357673.1,TRUE,FALSE,FALSE
AL360181.3,TRUE,FALSE,FALSE
AL365273.2,TRUE,FALSE,FALSE
AL445524.2,TRUE,FALSE,FALSE
AL590560.2,TRUE,FALSE,FALSE
AL669918.1,TRUE,FALSE,FALSE
ALCAM,TRUE,FALSE,FALSE
ALDH18A1,TRUE,FALSE,FALSE
ALDH1B1,TRUE,FALSE,FALSE
ALDH3B1,TRUE,FALSE,FALSE
ALDOA,TRUE,FALSE,FALSE
ALG1,TRUE,FALSE,FALSE
ALG12,TRUE,FALSE,FALSE
ALG1L,TRUE,FALSE,FALSE
ALG3,TRUE,FALSE,FALSE
ALK,TRUE,FALSE,FALSE
ALKAL2,TRUE,FALSE,FALSE
ALKBH2,TRUE,FALSE,FALSE
ALKBH3,TRUE,FALSE,FALSE
ALMS1,TRUE,FALSE,FALSE
ALOX15,TRUE,FALSE,FALSE
ALOX5,TRUE,FALSE,FALSE
ALOX5AP,TRUE,FALSE,FALSE
ALPK3,TRUE,FALSE,FALSE
ALS2CL,TRUE,FALSE,FALSE
AMER1,TRUE,FALSE,FALSE
AMFR,TRUE,FALSE,FALSE
AMIGO1,TRUE,FALSE,FALSE
AMN,TRUE,FALSE,FALSE
AMZ1,TRUE,FALSE,FALSE
AMZ2,TRUE,FALSE,FALSE
ANAPC15,TRUE,FALSE,FALSE
ANG,TRUE,FALSE,FALSE
ANGEL1,TRUE,FALSE,FALSE
ANGPT2,TRUE,FALSE,FALSE
ANGPTL2,TRUE,FALSE,FALSE
ANK3,TRUE,FALSE,FALSE
ANKIB1,TRUE,FALSE,FALSE
ANKRD1,TRUE,FALSE,FALSE
ANKRD13C,TRUE,FALSE,FALSE
ANKRD16,TRUE,FALSE,FALSE
ANKRD22,TRUE,FALSE,FALSE
ANKRD23,TRUE,FALSE,FALSE
ANKRD33B,TRUE,FALSE,FALSE
ANKRD52,TRUE,FALSE,FALSE
ANKRD55,TRUE,FALSE,FALSE
ANKRD63,TRUE,FALSE,FALSE
ANKRD9,TRUE,FALSE,FALSE
ANKS1A,TRUE,FALSE,FALSE
ANKS3,TRUE,FALSE,FALSE
ANKS6,TRUE,FALSE,FALSE
ANKUB1,TRUE,FALSE,FALSE
ANLN,TRUE,FALSE,FALSE
ANO10,TRUE,FALSE,FALSE
ANO5,TRUE,FALSE,FALSE
ANP32E,TRUE,FALSE,FALSE
ANTXR2,TRUE,FALSE,FALSE
ANTXRL,TRUE,FALSE,FALSE
ANXA1,TRUE,FALSE,FALSE
ANXA3,TRUE,FALSE,FALSE
AOC3,TRUE,FALSE,FALSE
AP000295.1,TRUE,FALSE,FALSE
AP000552.6,TRUE,FALSE,FALSE
AP001453.5,TRUE,FALSE,FALSE
AP002495.1,TRUE,FALSE,FALSE
AP006333.1,TRUE,FALSE,FALSE
AP1S2,TRUE,FALSE,FALSE
AP1S3,TRUE,FALSE,FALSE
AP2B1,TRUE,FALSE,FALSE
AP2M1,TRUE,FALSE,FALSE
AP5S1,TRUE,FALSE,FALSE
APAF1,TRUE,FALSE,FALSE
APBA1,TRUE,FALSE,FALSE
APBB1,TRUE,FALSE,FALSE
APC2,TRUE,FALSE,FALSE
APCDD1L,TRUE,FALSE,FALSE
APH1B,TRUE,FALSE,FALSE
APLP2,TRUE,FALSE,FALSE
APMAP,TRUE,FALSE,FALSE
APOBEC3F,TRUE,FALSE,FALSE
APOL1,TRUE,FALSE,FALSE
APOL3,TRUE,FALSE,FALSE
APOOL,TRUE,FALSE,FALSE
APP,TRUE,FALSE,FALSE
APRT,TRUE,FALSE,FALSE
AQP11,TRUE,FALSE,FALSE
AQP12B,TRUE,FALSE,FALSE
AQP6,TRUE,FALSE,FALSE
ARAP3,TRUE,FALSE,FALSE
AREG,FALSE,FALSE,TRUE
ARF1,TRUE,FALSE,FALSE
ARF4,TRUE,FALSE,FALSE
ARF5,TRUE,FALSE,FALSE
ARFGEF1,TRUE,FALSE,FALSE
ARG1,TRUE,FALSE,FALSE
ARHGAP10,TRUE,FALSE,FALSE
ARHGAP11A,TRUE,FALSE,FALSE
ARHGAP11B,TRUE,FALSE,FALSE
ARHGAP17,TRUE,FALSE,FALSE
ARHGAP18,TRUE,FALSE,FALSE
ARHGAP44,TRUE,FALSE,FALSE
ARHGDIA,TRUE,FALSE,FALSE
ARHGDIB,TRUE,FALSE,FALSE
ARHGEF10L,TRUE,FALSE,FALSE
ARHGEF12,TRUE,FALSE,FALSE
ARHGEF18,TRUE,FALSE,FALSE
ARHGEF4,TRUE,FALSE,FALSE
ARHGEF6,TRUE,FALSE,FALSE
ARHGEF9,TRUE,FALSE,FALSE
ARID5A,FALSE,FALSE,TRUE
ARL13A,TRUE,FALSE,FALSE
ARL4A,TRUE,FALSE,FALSE
ARL4C,TRUE,FALSE,FALSE
ARL5B,TRUE,FALSE,FALSE
ARL6IP1,TRUE,FALSE,FALSE
ARL8A,TRUE,FALSE,FALSE
ARMC8,TRUE,FALSE,FALSE
ARMH1,TRUE,FALSE,FALSE
ARMT1,TRUE,FALSE,FALSE
ARNT,TRUE,FALSE,FALSE
ARPC1A,TRUE,FALSE,FALSE
ARPC1B,TRUE,FALSE,FALSE
ARPC2,TRUE,FALSE,FALSE
ARPC3,TRUE,FALSE,FALSE
ARPC4,TRUE,FALSE,FALSE
ARPC5,TRUE,FALSE,FALSE
ARPC5L,TRUE,FALSE,FALSE
ARPIN,TRUE,FALSE,FALSE
ARPP19,TRUE,FALSE,FALSE
ARRB1,TRUE,FALSE,FALSE
ARVCF,TRUE,FALSE,FALSE
ASAH1,TRUE,FALSE,FALSE
ASB1,TRUE,FALSE,FALSE
ASB13,TRUE,FALSE,FALSE
ASB16,TRUE,FALSE,FALSE
ASB7,TRUE,FALSE,FALSE
ASB9,TRUE,FALSE,FALSE
ASCL2,TRUE,FALSE,FALSE
ASGR1,TRUE,FALSE,FALSE
ASIC1,TRUE,FALSE,FALSE
ASL,TRUE,FALSE,FALSE
ASPDH,TRUE,FALSE,FALSE
ASPH,TRUE,FALSE,FALSE
ASPM,TRUE,FALSE,FALSE
ASPN,TRUE,FALSE,FALSE
ASPRV1,TRUE,FALSE,FALSE
ATAD2,TRUE,FALSE,FALSE
ATAD5,TRUE,FALSE,FALSE
ATF4,TRUE,FALSE,FALSE
ATG14,TRUE,FALSE,FALSE
ATL3,TRUE,FALSE,FALSE
ATP10A,TRUE,FALSE,FALSE
ATP11A,TRUE,FALSE,FALSE
ATP11B,TRUE,FALSE,FALSE
ATP13A3,TRUE,FALSE,FALSE
ATP13A4,TRUE,FALSE,FALSE
ATP2C1,TRUE,FALSE,FALSE
ATP5F1B,TRUE,FALSE,FALSE
ATP5F1C,TRUE,FALSE,FALSE
ATP5F1E,TRUE,FALSE,FALSE
ATP5IF1,TRUE,FALSE,FALSE
ATP5MD,TRUE,FALSE,FALSE
ATP5MF,TRUE,FALSE,FALSE
ATP5MG,TRUE,FALSE,FALSE
ATP5PB,TRUE,FALSE,FALSE
ATP5PD,TRUE,FALSE,FALSE
ATP5PO,TRUE,FALSE,FALSE
ATP6AP2,TRUE,FALSE,FALSE
ATP6V0A1,TRUE,FALSE,FALSE
ATP6V0A2,TRUE,FALSE,FALSE
ATP6V0B,TRUE,FALSE,FALSE
ATP6V0D2,TRUE,FALSE,FALSE
ATP6V0E2,TRUE,FALSE,FALSE
ATP6V1C1,TRUE,FALSE,FALSE
ATP6V1D,TRUE,FALSE,FALSE
ATP6V1E1,TRUE,FALSE,FALSE
ATP6V1F,TRUE,FALSE,FALSE
ATP8B2,TRUE,FALSE,FALSE
ATP8B4,TRUE,FALSE,FALSE
ATP9A,TRUE,FALSE,FALSE
ATXN2,TRUE,FALSE,FALSE
ATXN7L2,TRUE,FALSE,FALSE
ATXN7L3,TRUE,FALSE,FALSE
AURKA,TRUE,FALSE,FALSE
AVIL,TRUE,FALSE,FALSE
AZI2,TRUE,FALSE,FALSE
AZIN1,TRUE,FALSE,FALSE
AZIN2,TRUE,FALSE,FALSE
AZU1,TRUE,FALSE,FALSE
B3GALT6,TRUE,FALSE,FALSE
B3GNT10,TRUE,FALSE,FALSE
B3GNT2,TRUE,FALSE,FALSE
B3GNT5,TRUE,TRUE,TRUE
B3GNT9,TRUE,FALSE,FALSE
B4GALNT4,TRUE,FALSE,FALSE
B4GALT4,TRUE,FALSE,FALSE
B4GALT5,TRUE,FALSE,FALSE
B4GAT1,TRUE,FALSE,FALSE
BABAM1,TRUE,FALSE,FALSE
BABAM2,TRUE,FALSE,FALSE
BAG4,TRUE,FALSE,FALSE
BARHL1,TRUE,FALSE,FALSE
BASP1,TRUE,FALSE,FALSE
BATF,TRUE,FALSE,FALSE
BAZ1A,TRUE,FALSE,FALSE
BBS2,TRUE,FALSE,FALSE
BCAP29,TRUE,FALSE,FALSE
BCAP31,TRUE,FALSE,FALSE
BCKDK,TRUE,FALSE,FALSE
BCL10,TRUE,FALSE,FALSE
BCL11B,TRUE,FALSE,FALSE
BCL2A1,TRUE,FALSE,FALSE
BCL2L11,TRUE,FALSE,FALSE
BCL2L15,TRUE,FALSE,FALSE
BCL7C,TRUE,FALSE,FALSE
BCL9L,TRUE,FALSE,FALSE
BDP1,TRUE,FALSE,FALSE
BECN1,TRUE,FALSE,FALSE
BHLHE41,TRUE,FALSE,FALSE
BICDL2,TRUE,FALSE,FALSE
BIN1,TRUE,FALSE,FALSE
BIRC2,TRUE,FALSE,FALSE
BLM,TRUE,FALSE,FALSE
BLOC1S1,TRUE,FALSE,FALSE
BLOC1S2,TRUE,FALSE,FALSE
BLZF1,TRUE,FALSE,FALSE
BMF,TRUE,FALSE,FALSE
BMP8A,TRUE,FALSE,FALSE
BMPR2,TRUE,FALSE,FALSE
BMX,TRUE,TRUE,TRUE
BNIP1,TRUE,FALSE,FALSE
BNIP2,TRUE,FALSE,FALSE
BOLL,TRUE,FALSE,FALSE
BORCS5,TRUE,FALSE,FALSE
BPI,TRUE,FALSE,FALSE
BPIFA2,TRUE,FALSE,FALSE
BRAF,TRUE,FALSE,FALSE
BRF1,TRUE,FALSE,FALSE
BRI3,TRUE,FALSE,FALSE
BRK1,TRUE,FALSE,FALSE
BRMS1L,TRUE,FALSE,FALSE
BROX,TRUE,FALSE,FALSE
BRPF1,TRUE,FALSE,FALSE
BSND,TRUE,FALSE,FALSE
BST1,TRUE,FALSE,FALSE
BTF3,TRUE,FALSE,FALSE
BTN1A1,TRUE,FALSE,FALSE
BTN2A2,TRUE,FALSE,FALSE
BTN3A1,TRUE,FALSE,FALSE
BTN3A2,TRUE,FALSE,FALSE
BTN3A3,TRUE,FALSE,FALSE
BTRC,TRUE,FALSE,FALSE
BUB1,TRUE,FALSE,FALSE
BX664615.2,TRUE,FALSE,FALSE
BZW1,TRUE,FALSE,FALSE
C10orf105,TRUE,FALSE,FALSE
C10orf143,TRUE,FALSE,FALSE
C10orf67,TRUE,FALSE,FALSE
C10orf95,TRUE,FALSE,FALSE
C11orf71,TRUE,FALSE,FALSE
C11orf98,TRUE,FALSE,FALSE
C12orf40,TRUE,FALSE,FALSE
C12orf60,TRUE,FALSE,FALSE
C12orf71,TRUE,FALSE,FALSE
C13orf46,TRUE,FALSE,FALSE
C14orf119,TRUE,FALSE,FALSE
C14orf132,TRUE,FALSE,FALSE
C15orf39,TRUE,FALSE,FALSE
C16orf58,TRUE,FALSE,FALSE
C16orf90,TRUE,FALSE,FALSE
C17orf49,TRUE,FALSE,FALSE
C18orf32,TRUE,FALSE,FALSE
C18orf54,TRUE,FALSE,FALSE
C19orf18,TRUE,FALSE,FALSE
C19orf38,TRUE,FALSE,FALSE
C1D,TRUE,FALSE,FALSE
C1GALT1C1,TRUE,FALSE,FALSE
C1orf122,TRUE,FALSE,FALSE
C1orf146,TRUE,FALSE,FALSE
C1orf162,TRUE,FALSE,FALSE
C1orf216,TRUE,FALSE,FALSE
C1orf226,TRUE,FALSE,FALSE
C1orf68,TRUE,FALSE,FALSE
C1QL3,TRUE,FALSE,FALSE
C1QTNF2,TRUE,FALSE,FALSE
C2,TRUE,FALSE,FALSE
C20orf173,TRUE,FALSE,FALSE
C20orf204,TRUE,FALSE,FALSE
C21orf62,TRUE,FALSE,FALSE
C2CD4D,TRUE,FALSE,FALSE
C2CD5,TRUE,FALSE,FALSE
C2orf69,TRUE,FALSE,FALSE
C3orf18,TRUE,FALSE,FALSE
C3orf20,TRUE,FALSE,FALSE
C3orf22,TRUE,FALSE,FALSE
C4orf3,TRUE,FALSE,FALSE
C4orf46,TRUE,FALSE,FALSE
C5orf30,TRUE,FALSE,FALSE
C6orf120,TRUE,FALSE,FALSE
C6orf62,TRUE,FALSE,FALSE
C6orf89,TRUE,FALSE,FALSE
C8orf86,TRUE,FALSE,FALSE
C9orf131,TRUE,FALSE,FALSE
C9orf152,TRUE,FALSE,FALSE
C9orf64,TRUE,FALSE,FALSE
CA1,TRUE,FALSE,FALSE
CA2,TRUE,FALSE,FALSE
CA4,TRUE,FALSE,FALSE
CA6,TRUE,FALSE,FALSE
CAB39,TRUE,FALSE,FALSE
CABIN1,TRUE,FALSE,FALSE
CACHD1,TRUE,FALSE,FALSE
CACNA1F,TRUE,FALSE,FALSE
CACNA1I,TRUE,FALSE,FALSE
CACNA2D1,TRUE,FALSE,FALSE
CACNA2D2,TRUE,FALSE,FALSE
CACNA2D3,TRUE,FALSE,FALSE
CACNB1,TRUE,FALSE,FALSE
CACNB3,TRUE,FALSE,FALSE
CACNB4,TRUE,FALSE,FALSE
CACNG8,TRUE,FALSE,FALSE
CALHM2,TRUE,FALSE,FALSE
CALM1,TRUE,FALSE,FALSE
CALM2,TRUE,FALSE,FALSE
CALM3,TRUE,FALSE,FALSE
CAMK1,TRUE,FALSE,FALSE
CAMK1D,TRUE,FALSE,FALSE
CAMK2D,TRUE,FALSE,FALSE
CAMK2N1,TRUE,FALSE,FALSE
CAP1,TRUE,FALSE,FALSE
CAPG,TRUE,FALSE,FALSE
CAPN7,TRUE,FALSE,FALSE
CAPNS1,TRUE,FALSE,FALSE
CAPS,TRUE,FALSE,FALSE
CAPS2,TRUE,FALSE,FALSE
CAPZA1,TRUE,FALSE,FALSE
CAPZA2,TRUE,FALSE,FALSE
CARD10,TRUE,FALSE,FALSE
CARD11,TRUE,FALSE,FALSE
CARD19,TRUE,FALSE,FALSE
CARD6,TRUE,FALSE,FALSE
CARD9,TRUE,FALSE,FALSE
CARMIL2,TRUE,FALSE,FALSE
CARTPT,TRUE,FALSE,FALSE
CASP3,TRUE,FALSE,FALSE
CASP5,TRUE,FALSE,FALSE
CASP6,TRUE,FALSE,FALSE
CASQ1,TRUE,FALSE,FALSE
CASS4,TRUE,FALSE,FALSE
CAST,TRUE,FALSE,FALSE
CATSPERD,TRUE,FALSE,FALSE
CBFA2T3,TRUE,FALSE,FALSE
CBLIF,TRUE,FALSE,FALSE
CBR3,TRUE,FALSE,FALSE
CBSL,TRUE,FALSE,FALSE
CBX3,TRUE,FALSE,FALSE
CBX7,TRUE,FALSE,FALSE
CBY3,TRUE,FALSE,FALSE
CCDC117,TRUE,FALSE,FALSE
CCDC126,TRUE,FALSE,FALSE
CCDC141,TRUE,FALSE,FALSE
CCDC149,TRUE,FALSE,FALSE
CCDC152,TRUE,FALSE,FALSE
CCDC153,TRUE,FALSE,FALSE
CCDC154,TRUE,FALSE,FALSE
CCDC157,TRUE,FALSE,FALSE
CCDC186,TRUE,FALSE,FALSE
CCDC188,TRUE,FALSE,FALSE
CCDC196,TRUE,FALSE,FALSE
CCDC200,TRUE,FALSE,FALSE
CCDC28A,TRUE,FALSE,FALSE
CCDC34,TRUE,FALSE,FALSE
CCDC36,TRUE,FALSE,FALSE
CCDC47,TRUE,FALSE,FALSE
CCDC57,TRUE,FALSE,FALSE
CCDC78,TRUE,FALSE,FALSE
CCDC84,TRUE,FALSE,FALSE
CCDC85B,TRUE,FALSE,FALSE
CCDC86,TRUE,FALSE,FALSE
CCN3,TRUE,FALSE,FALSE
CCNA1,TRUE,FALSE,FALSE
CCNA2,TRUE,FALSE,FALSE
CCNB1,TRUE,FALSE,FALSE
CCNB2,TRUE,FALSE,FALSE
CCND3,TRUE,FALSE,FALSE
CCNDBP1,TRUE,FALSE,FALSE
CCNE2,TRUE,FALSE,FALSE
CCNG1,TRUE,FALSE,FALSE
CCNG2,TRUE,FALSE,FALSE
CCNI,TRUE,FALSE,FALSE
CCNI2,TRUE,FALSE,FALSE
CCNL1,TRUE,FALSE,FALSE
CCNYL1,TRUE,FALSE,FALSE
CCP110,TRUE,FALSE,FALSE
CCPG1,TRUE,FALSE,FALSE
CCR3,TRUE,FALSE,FALSE
CCR8,TRUE,FALSE,FALSE
CCT8L2,TRUE,FALSE,FALSE
CCZ1,TRUE,FALSE,FALSE
CCZ1B,TRUE,FALSE,FALSE
CD101,TRUE,FALSE,FALSE
CD164,TRUE,FALSE,FALSE
CD177,TRUE,FALSE,FALSE
CD1C,TRUE,FALSE,FALSE
CD1D,FALSE,FALSE,TRUE
CD1E,TRUE,FALSE,FALSE
CD2,TRUE,FALSE,FALSE
CD200R1L,TRUE,FALSE,FALSE
CD24,TRUE,FALSE,FALSE
CD244,TRUE,FALSE,FALSE
CD247,TRUE,FALSE,FALSE
CD28,TRUE,FALSE,FALSE
CD300E,TRUE,FALSE,FALSE
CD300LB,TRUE,FALSE,FALSE
CD300LF,TRUE,FALSE,FALSE
CD300LG,TRUE,FALSE,FALSE
CD3D,TRUE,FALSE,FALSE
CD3E,TRUE,FALSE,FALSE
CD3G,TRUE,FALSE,FALSE
CD4,TRUE,FALSE,FALSE
CD40LG,TRUE,FALSE,FALSE
CD44,TRUE,FALSE,FALSE
CD5,TRUE,FALSE,FALSE
CD55,TRUE,FALSE,FALSE
CD58,TRUE,FALSE,FALSE
CD59,TRUE,FALSE,FALSE
CD6,TRUE,FALSE,FALSE
CD63,TRUE,FALSE,FALSE
CD74,TRUE,FALSE,FALSE
CD8B,TRUE,FALSE,FALSE
CD9,TRUE,FALSE,FALSE
CDA,TRUE,FALSE,FALSE
CDADC1,TRUE,TRUE,TRUE
CDC123,TRUE,FALSE,FALSE
CDC27,TRUE,FALSE,FALSE
CDC37,TRUE,FALSE,FALSE
CDC40,TRUE,FALSE,FALSE
CDC42,TRUE,FALSE,FALSE
CDC42BPA,TRUE,FALSE,FALSE
CDC42BPG,TRUE,FALSE,FALSE
CDC45,TRUE,FALSE,FALSE
CDC73,TRUE,FALSE,FALSE
CDH23,TRUE,FALSE,FALSE
CDHR2,TRUE,FALSE,FALSE
CDHR4,TRUE,FALSE,FALSE
CDHR5,TRUE,FALSE,FALSE
